Datetime,Close,High,Low,Open,Volume
2026-01-02 14:30:00+00:00,111.95,113.44,111.73,113.44,1862376
2026-01-02 15:30:00+00:00,111.98,112.44,111.62,111.92,1490989
2026-01-02 16:30:00+00:00,112.20,112.20,111.85,111.99,703187
2026-01-02 17:30:00+00:00,112.06,112.32,112.00,112.20,731512
2026-01-02 18:30:00+00:00,112.24,112.33,111.94,112.06,653370
2026-01-02 19:30:00+00:00,111.82,112.25,111.82,112.24,797700
2026-01-02 20:30:00+00:00,111.87,111.96,111.66,111.82,1330966
2026-01-05 14:30:00+00:00,113.39,113.44,111.38,111.42,1447533
2026-01-05 15:30:00+00:00,114.29,114.30,113.10,113.39,991440
2026-01-05 16:30:00+00:00,114.95,115.02,114.28,114.32,1270396
2026-01-05 17:30:00+00:00,115.98,116.03,114.96,114.96,1206623
2026-01-05 18:30:00+00:00,115.80,116.02,115.63,115.97,1126145
2026-01-05 19:30:00+00:00,114.54,115.82,114.53,115.80,1189244
2026-01-05 20:30:00+00:00,114.10,114.54,113.98,114.54,1410359
2026-01-06 14:30:00+00:00,114.13,114.13,113.11,113.77,1200552
2026-01-06 15:30:00+00:00,114.23,114.57,113.98,114.11,965412
2026-01-06 16:30:00+00:00,114.43,114.57,113.99,114.01,620625
2026-01-06 17:30:00+00:00,114.59,114.76,114.40,114.41,688713
2026-01-06 18:30:00+00:00,114.41,114.67,114.03,114.58,566610
2026-01-06 19:30:00+00:00,114.39,114.56,114.14,114.42,715977
2026-01-06 20:30:00+00:00,114.51,114.59,114.32,114.43,782969
2026-01-07 14:30:00+00:00,113.38,114.97,113.24,114.46,1273149
2026-01-07 15:30:00+00:00,113.96,114.33,113.38,113.38,1033048
2026-01-07 16:30:00+00:00,113.88,113.97,113.67,113.96,539483
2026-01-07 17:30:00+00:00,113.67,113.95,113.66,113.89,515363
2026-01-07 18:30:00+00:00,113.56,113.79,113.44,113.67,628344
2026-01-07 19:30:00+00:00,113.47,113.71,113.33,113.56,699562
2026-01-07 20:30:00+00:00,112.92,113.47,112.51,113.47,1837650
2026-01-08 14:30:00+00:00,113.46,113.58,112.54,112.54,1637168
2026-01-08 15:30:00+00:00,113.73,114.18,113.26,113.44,1295743
2026-01-08 16:30:00+00:00,114.53,114.54,113.49,113.72,676247
2026-01-08 17:30:00+00:00,114.77,114.99,114.54,114.55,691218
2026-01-08 18:30:00+00:00,114.56,114.92,114.51,114.77,614247
2026-01-08 19:30:00+00:00,114.50,114.57,114.24,114.57,823506
2026-01-08 20:30:00+00:00,114.14,114.56,113.96,114.50,1197543
2026-01-09 14:30:00+00:00,114.66,115.22,114.02,114.31,1260838
2026-01-09 15:30:00+00:00,114.39,114.69,113.90,114.64,717955
2026-01-09 16:30:00+00:00,114.85,114.90,114.23,114.41,644844
2026-01-09 17:30:00+00:00,114.73,115.09,114.64,114.86,889029
2026-01-09 18:30:00+00:00,114.93,115.05,114.72,114.72,836331
2026-01-09 19:30:00+00:00,115.22,115.23,114.87,114.93,1085239
2026-01-09 20:30:00+00:00,115.88,115.97,115.19,115.23,1896532
2026-01-12 14:30:00+00:00,112.99,114.94,112.66,114.63,2032077
2026-01-12 15:30:00+00:00,113.95,114.22,112.99,112.99,1198379
2026-01-12 16:30:00+00:00,113.19,114.07,112.95,113.96,713823
2026-01-12 17:30:00+00:00,113.07,113.31,112.94,113.19,677188
2026-01-12 18:30:00+00:00,112.89,113.32,112.78,113.07,774063
2026-01-12 19:30:00+00:00,112.80,113.18,112.69,112.87,1085379
2026-01-12 20:30:00+00:00,112.81,113.02,112.55,112.81,1661883
2026-01-13 14:30:00+00:00,111.79,113.22,111.69,112.84,1341450
2026-01-13 15:30:00+00:00,111.92,112.50,111.75,111.77,862698
2026-01-13 16:30:00+00:00,111.95,112.08,111.61,111.92,665090
2026-01-13 17:30:00+00:00,112.03,112.32,111.82,111.95,623801
2026-01-13 18:30:00+00:00,112.40,112.58,111.86,112.01,1055169
2026-01-13 19:30:00+00:00,112.31,112.55,112.19,112.41,869802
2026-01-13 20:30:00+00:00,112.97,113.13,112.09,112.31,1645831
2026-01-14 14:30:00+00:00,112.99,113.59,112.65,112.81,1217346
2026-01-14 15:30:00+00:00,112.93,113.06,112.26,112.96,917546
2026-01-14 16:30:00+00:00,112.73,112.98,112.51,112.93,862144
2026-01-14 17:30:00+00:00,112.68,112.79,112.38,112.73,636380
2026-01-14 18:30:00+00:00,112.67,112.74,112.35,112.70,683733
2026-01-14 19:30:00+00:00,113.13,113.14,112.62,112.67,897735
2026-01-14 20:30:00+00:00,113.52,113.53,112.99,113.13,1391200
2026-01-15 14:30:00+00:00,112.61,114.11,112.39,113.71,1678063
2026-01-15 15:30:00+00:00,113.37,113.38,112.17,112.61,790909
2026-01-15 16:30:00+00:00,113.30,113.64,113.22,113.36,681281
2026-01-15 17:30:00+00:00,113.46,113.50,113.20,113.31,477481
2026-01-15 18:30:00+00:00,113.53,113.89,113.38,113.46,792519
2026-01-15 19:30:00+00:00,113.62,113.78,113.35,113.53,785329
2026-01-15 20:30:00+00:00,113.44,113.72,113.29,113.62,988064
2026-01-16 14:30:00+00:00,112.72,113.85,112.60,113.20,2243109
2026-01-16 15:30:00+00:00,112.59,113.04,112.38,112.71,988797
2026-01-16 16:30:00+00:00,111.41,112.60,111.30,112.58,1284751
2026-01-16 17:30:00+00:00,111.88,111.96,111.28,111.40,743126
2026-01-16 18:30:00+00:00,111.35,112.01,111.32,111.88,755833
2026-01-16 19:30:00+00:00,111.48,111.59,111.12,111.35,1131005
2026-01-16 20:30:00+00:00,111.22,111.61,111.15,111.47,1523053
2026-01-20 14:30:00+00:00,110.41,110.58,108.80,109.66,2080309
2026-01-20 15:30:00+00:00,110.75,110.77,110.22,110.41,728572
2026-01-20 16:30:00+00:00,110.94,111.09,110.62,110.73,878577
2026-01-20 17:30:00+00:00,110.39,110.94,110.34,110.93,566514
2026-01-20 18:30:00+00:00,110.05,110.45,110.01,110.38,824965
2026-01-20 19:30:00+00:00,110.70,110.73,109.83,110.06,1167469
2026-01-20 20:30:00+00:00,110.36,110.83,110.23,110.70,1347307
2026-01-21 14:30:00+00:00,111.52,112.20,110.50,110.57,1715976
2026-01-21 15:30:00+00:00,111.67,111.74,111.25,111.50,854325
2026-01-21 16:30:00+00:00,111.39,111.79,110.87,111.66,698579
2026-01-21 17:30:00+00:00,111.24,111.54,111.05,111.39,654026
2026-01-21 18:30:00+00:00,112.53,112.59,111.44,111.57,1131409
2026-01-21 19:30:00+00:00,112.74,113.00,112.42,112.55,1322164
2026-01-21 20:30:00+00:00,113.24,113.25,112.65,112.73,1605034
2026-01-22 14:30:00+00:00,113.68,114.29,113.12,113.17,2162305
2026-01-22 15:30:00+00:00,113.62,114.25,113.25,113.68,1463011
2026-01-22 16:30:00+00:00,113.65,113.71,113.15,113.62,909014
2026-01-22 17:30:00+00:00,112.75,113.72,112.72,113.65,1160944
2026-01-22 18:30:00+00:00,112.79,113.27,112.67,112.73,2409163
2026-01-22 19:30:00+00:00,112.68,112.82,112.17,112.80,1067664
2026-01-22 20:30:00+00:00,113.23,113.25,112.47,112.67,1473281
2026-01-23 14:30:00+00:00,111.60,112.95,110.94,112.68,2408525
2026-01-23 15:30:00+00:00,111.54,111.86,111.41,111.60,905915
2026-01-23 16:30:00+00:00,111.65,111.72,111.32,111.53,712060
2026-01-23 17:30:00+00:00,111.06,111.65,110.90,111.65,1216458
2026-01-23 18:30:00+00:00,111.10,111.30,110.94,111.06,770619
2026-01-23 19:30:00+00:00,110.65,111.22,110.62,111.09,1002573
2026-01-23 20:30:00+00:00,110.97,111.06,110.55,110.64,1547770
2026-01-26 14:30:00+00:00,111.65,112.41,111.13,111.68,1844440
2026-01-26 15:30:00+00:00,111.50,111.78,111.27,111.65,806335
2026-01-26 16:30:00+00:00,111.63,111.79,111.32,111.50,703138
2026-01-26 17:30:00+00:00,111.56,111.66,111.40,111.63,837475
2026-01-26 18:30:00+00:00,111.57,111.64,111.37,111.57,596667
2026-01-26 19:30:00+00:00,111.81,111.94,111.51,111.56,888701
2026-01-26 20:30:00+00:00,111.32,111.88,111.24,111.81,1231709
2026-01-27 14:30:00+00:00,110.07,111.80,110.06,111.50,1371130
2026-01-27 15:30:00+00:00,110.69,110.74,110.06,110.07,1119076
2026-01-27 16:30:00+00:00,110.47,111.12,110.45,110.69,785132
2026-01-27 17:30:00+00:00,110.43,110.62,110.03,110.47,804770
2026-01-27 18:30:00+00:00,110.50,110.53,110.09,110.43,739746
2026-01-27 19:30:00+00:00,110.56,110.75,110.40,110.50,1005283
