Episode,Total_Reward,Portfolio_Value,Epsilon
1,-1.5055,219.515,0.95
2,-1.5108,218.559,0.9025
3,-1.4212,239.205,0.8574
4,-1.3842,248.365,0.8145
5,-1.4863,224.288,0.7738
6,-1.4718,227.328,0.7351
7,-1.4179,240.141,0.6983
8,-1.2324,289.282,0.6634
9,-1.1107,327.165,0.6302
10,-1.1134,326.091,0.5987
11,-0.994,367.337,0.5688
12,-0.9428,386.449,0.5404
13,-1.0818,336.24,0.5133
14,-0.8328,431.082,0.4877
15,-0.8788,412.074,0.4633
16,-0.8055,442.826,0.4401
17,-0.8448,426.091,0.4181
18,-0.7821,453.891,0.3972
19,-1.7579,464.827,0.3774
20,-0.7877,451.101,0.3585
21,-0.7186,483.355,0.3406
22,-0.5842,553.044,0.3235
23,-0.5635,564.527,0.3074
24,-0.556,568.985,0.292
25,-0.6029,542.496,0.2774
26,-0.5436,576.22,0.2635
27,-0.5076,597.655,0.2503
28,-0.4725,618.654,0.2378
29,-0.399,666.87,0.2259
30,-0.4679,621.745,0.2146
31,-0.4235,650.17,0.2039
32,-0.384,675.852,0.1937
33,-0.2894,743.259,0.184
34,-0.3404,706.396,0.1748
35,-0.389,672.084,0.1661
36,-0.3147,724.616,0.1578
37,-0.2725,755.776,0.1499
38,-0.2349,784.816,0.1424
39,-0.2648,761.512,0.1353
40,-0.2228,794.281,0.1285
41,-0.2224,795.043,0.1221
42,-0.2354,784.436,0.116
43,-0.1883,822.211,0.1102
44,-0.1414,861.654,0.1047
45,-0.1465,857.242,0.0994
46,-0.1647,841.591,0.0945
47,-0.1484,855.818,0.0897
48,-0.1921,819.01,0.0853
49,-0.1337,868.381,0.081
50,-0.1272,873.941,0.0769
51,-0.1394,864.283,0.0731
52,-0.1133,886.153,0.0694
53,-0.1234,877.446,0.066
54,-0.0659,929.215,0.0627
55,-0.0872,909.758,0.0595
56,-0.0642,930.747,0.0566
57,-0.0504,943.813,0.0537
58,-0.0686,927.081,0.051
59,-0.0827,913.966,0.05
60,-0.0175,975.591,0.05
61,-0.0366,957.077,0.05
62,-0.0573,937.396,0.05
63,-0.0485,945.635,0.05
64,-0.0486,945.688,0.05
65,-0.063,932.611,0.05
66,-0.0526,941.798,0.05
67,-0.0314,963.054,0.05
68,-0.0546,939.924,0.05
69,-0.0365,957.208,0.05
70,-0.0519,942.218,0.05
71,-0.0367,956.801,0.05
72,-0.053,941.38,0.05
73,-0.0411,952.721,0.05
74,-0.0347,958.876,0.05
75,-0.0473,948.123,0.05
76,-0.0526,941.812,0.05
77,-0.0415,952.398,0.05
78,-0.0297,963.474,0.05
79,-0.0924,904.844,0.05
80,-0.0956,901.927,0.05
81,-0.0354,958.047,0.05
82,-0.053,941.479,0.05
83,-0.0685,926.682,0.05
84,-0.0472,946.787,0.05
85,-0.0822,914.959,0.05
86,-0.0598,934.99,0.05
87,-0.0584,936.432,0.05
88,-0.0187,974.294,0.05
89,-0.0606,934.159,0.05
90,-0.0943,902.573,0.05
91,-0.0447,949.276,0.05
92,-0.0439,950.043,0.05
93,-0.0446,949.436,0.05
94,-0.0845,912.142,0.05
95,-0.0483,945.984,0.05
96,-0.0258,967.426,0.05
97,-0.0194,973.715,0.05
98,-0.0674,928.918,0.05
99,-0.0818,914.674,0.05
100,-0.0296,963.993,0.05
