Episode,Total_Reward,Portfolio_Value,Epsilon
1,-0.552,571.548,0.95
2,-0.5779,556.875,0.9025
3,-0.5921,549.577,0.8574
4,-0.6127,537.844,0.8145
5,-0.5082,597.447,0.7738
6,-0.5531,570.841,0.7351
7,-0.5317,583.096,0.6983
8,-0.5863,552.143,0.6634
9,-0.4829,612.498,0.6302
10,-0.5253,587.068,0.5987
11,-0.5136,594.202,0.5688
12,-0.4968,604.105,0.5404
13,-0.4764,616.49,0.5133
14,-0.4756,617.287,0.4877
15,-0.4685,621.229,0.4633
16,-0.4651,623.471,0.4401
17,-0.4626,625.576,0.4181
18,-0.4032,663.48,0.3972
19,-0.4067,660.887,0.3774
20,-0.4487,633.302,0.3585
21,-0.3769,680.683,0.3406
22,-0.3941,669.536,0.3235
23,-0.3821,676.987,0.3074
24,-0.4186,653.113,0.292
25,-0.3685,686.504,0.2774
26,-0.4148,655.499,0.2635
27,-0.3644,689.396,0.2503
28,-0.4043,662.669,0.2378
29,-0.3289,714.66,0.2259
30,-0.2967,737.741,0.2146
31,-0.3182,721.334,0.2039
32,-0.334,710.657,0.1937
33,-0.3249,717.339,0.184
34,-0.2646,762.359,0.1748
35,-0.2671,759.467,0.1661
36,-0.2286,789.718,0.1578
37,-0.2439,777.544,0.1499
38,-0.2697,758.095,0.1424
39,-0.2431,778.635,0.1353
40,-0.19,821.047,0.1285
41,-0.189,822.006,0.1221
42,-0.1756,832.678,0.116
43,-0.1978,814.028,0.1102
44,-0.1419,861.129,0.1047
45,-0.1398,863.438,0.0994
46,-0.1857,824.84,0.0945
47,-0.1111,888.778,0.0897
48,-0.1843,824.841,0.0853
49,-0.0757,921.097,0.081
50,-0.085,910.615,0.0769
51,-0.1351,868.333,0.0731
52,-0.1297,873.009,0.0694
53,-0.0896,907.925,0.066
54,-0.0765,919.392,0.0627
55,-0.079,918.088,0.0595
56,-0.0797,917.252,0.0566
57,-0.066,929.677,0.0537
58,-0.0945,902.461,0.051
59,-0.07,926.272,0.05
60,-0.0971,899.358,0.05
61,-0.0681,927.179,0.05
62,-0.1046,894.896,0.05
63,-0.0497,944.371,0.05
64,-0.0628,932.734,0.05
65,-0.0915,905.775,0.05
66,-0.0885,908.654,0.05
67,-0.0342,959.46,0.05
68,-0.1234,877.999,0.05
69,-0.1133,886.49,0.05
70,-0.099,899.332,0.05
71,-0.0571,938.624,0.05
72,-0.0877,908.612,0.05
73,-0.0987,900.439,0.05
74,-0.078,916.782,0.05
75,-0.0756,920.694,0.05
76,-0.0916,904.623,0.05
77,-0.086,911.309,0.05
78,-0.0654,929.986,0.05
79,0.0022,995.237,0.05
80,-0.0681,925.189,0.05
81,-0.0811,914.741,0.05
82,-0.0801,917.186,0.05
83,-0.1086,890.11,0.05
84,-0.1289,872.652,0.05
85,-0.0572,937.444,0.05
86,-0.0987,899.755,0.05
87,-0.0386,955.512,0.05
88,-0.0984,899.861,0.05
89,-0.0902,906.756,0.05
90,-0.0437,951.159,0.05
91,-0.0349,959.116,0.05
92,-0.0446,949.954,0.05
93,-0.0674,926.947,0.05
94,-0.0528,942.255,0.05
95,-0.0565,938.62,0.05
96,-0.0876,910.342,0.05
97,-0.0591,936.617,0.05
98,-0.0261,967.713,0.05
99,-0.0428,950.72,0.05
100,-0.0963,902.422,0.05
